label|score|source|source_id|source_type|source_url|target_id|target_type
binds_to|0.341|ENCODE|ensg00000177485|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_8388344_8388800_GRCh38|tfbs
binds_to|0.113|ENCODE|ensg00000115966|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_16776930_16777306_GRCh38|tfbs
binds_to|0.235|ENCODE|ensg00000005889|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_58719516_58720395_GRCh38|tfbs
binds_to|0.101|ENCODE|ensg00000102974|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_176160080_176160980_GRCh38|tfbs
binds_to|0.226|ENCODE|ensg00000140265|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_226492034_226492478_GRCh38|tfbs
binds_to|0.049|ENCODE|ensg00000186660|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_226492155_226492599_GRCh38|tfbs
binds_to|0.504|ENCODE|ensg00000181222|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243268846_243270033_GRCh38|tfbs
binds_to|0.06|ENCODE|ensg00000102034|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269299_243270040_GRCh38|tfbs
binds_to|0.094|ENCODE|ensg00000166716|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269303_243269887_GRCh38|tfbs
binds_to|0.032|ENCODE|ensg00000104064|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269356_243269892_GRCh38|tfbs
binds_to|0.068|ENCODE|ensg00000174197|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269360_243269924_GRCh38|tfbs
binds_to|0.082|ENCODE|ensg00000213999|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269409_243269985_GRCh38|tfbs
binds_to|0.282|ENCODE|ensg00000125952|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269418_243269814_GRCh38|tfbs
binds_to|0.124|ENCODE|ensg00000112592|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269427_243269807_GRCh38|tfbs
binds_to|0.516|ENCODE|ensg00000028277|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269432_243269742_GRCh38|tfbs
binds_to|0.16|ENCODE|ensg00000100395|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269502_243270102_GRCh38|tfbs
binds_to|0.11|ENCODE|ensg00000127511|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269563_243269913_GRCh38|tfbs
binds_to|0.402|ENCODE|ensg00000130726|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_243269606_243270026_GRCh38|tfbs
binds_to|0.752|ENCODE|ensg00000185811|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6290107_6291629_GRCh38|tfbs
binds_to|0.56|ENCODE|ensg00000129691|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6290988_6291508_GRCh38|tfbs
binds_to|0.534|ENCODE|ensg00000030419|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291057_6291658_GRCh38|tfbs
binds_to|0.02|ENCODE|ensg00000160199|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291122_6291546_GRCh38|tfbs
binds_to|0.421|ENCODE|ensg00000095794|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291183_6291744_GRCh38|tfbs
binds_to|0.431|ENCODE|ensg00000196092|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291229_6291736_GRCh38|tfbs
binds_to|0.708|ENCODE|ensg00000074266|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291239_6291513_GRCh38|tfbs
binds_to|0.265|ENCODE|ensg00000119866|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291263_6291533_GRCh38|tfbs
binds_to|0.183|ENCODE|ensg00000167081|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291274_6291490_GRCh38|tfbs
binds_to|0.324|ENCODE|ensg00000143373|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291310_6291754_GRCh38|tfbs
binds_to|0.653|ENCODE|ensg00000153147|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_6291389_6291805_GRCh38|tfbs
binds_to|0.295|ENCODE|ensg00000111642|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_9436849_9437665_GRCh38|tfbs
binds_to|0.856|ENCODE|ensg00000177485|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_10485703_10486065_GRCh38|tfbs
binds_to|0.356|ENCODE|ensg00000185811|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582625_12583257_GRCh38|tfbs
binds_to|0.294|ENCODE|ensg00000004487|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582626_12583189_GRCh38|tfbs
binds_to|0.19|ENCODE|ensg00000181222|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582647_12583177_GRCh38|tfbs
binds_to|0.483|ENCODE|ensg00000116478|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582671_12583115_GRCh38|tfbs
binds_to|0.266|ENCODE|ensg00000204371|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582684_12583064_GRCh38|tfbs
binds_to|0.116|ENCODE|ensg00000130382|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582739_12583135_GRCh38|tfbs
binds_to|0.264|ENCODE|ensg00000121864|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582760_12583144_GRCh38|tfbs
binds_to|0.521|ENCODE|ensg00000073111|gene|https://genome.ucsc.edu/cgi-bin/hgTables|SO_0000235_chr1_12582780_12583140_GRCh38|tfbs
