label|score|source|source_id|source_type|source_url|target_id|target_type
coexpressed_with|17.69|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000268895|gene
coexpressed_with|7.99|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000174586|gene
coexpressed_with|5.95|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000105404|gene
coexpressed_with|5.24|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000125652|gene
coexpressed_with|4.71|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000105472|gene
coexpressed_with|4.59|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000179085|gene
coexpressed_with|4.54|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000205544|gene
coexpressed_with|4.49|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000152082|gene
coexpressed_with|4.29|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000198832|gene
coexpressed_with|4.26|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000167397|gene
coexpressed_with|4.18|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000125995|gene
coexpressed_with|4.17|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000171222|gene
coexpressed_with|4.15|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000103024|gene
coexpressed_with|4.03|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000161031|gene
coexpressed_with|3.96|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000104863|gene
coexpressed_with|3.86|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000269293|gene
coexpressed_with|3.84|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000182154|gene
coexpressed_with|3.8|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000130332|gene
coexpressed_with|3.74|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000130748|gene
coexpressed_with|3.72|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000006015|gene
coexpressed_with|3.72|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000142694|gene
coexpressed_with|3.72|CoXPresdb|ensg00000121410|gene|https://coxpresdb.jp/|ensg00000221821|gene
