# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01116	ENSEMBL:ENSG00000133703|ENSEMBL:ENSP00000508921|ENSEMBL:ENSP00000256078|ENSEMBL:ENSP00000509238|ENSEMBL:ENSP00000308495|ENSEMBL:ENST00000688940|ENSEMBL:ENST00000311936|ENSEMBL:ENST00000685328|ENSEMBL:ENST00000256078	-	enzymatic reaction	reactome:R-HSA-5637806	8530489
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01112	ENSEMBL:ENSG00000276536|ENSEMBL:ENST00000616241|ENSEMBL:ENST00000311189|ENSEMBL:ENST00000610977|ENSEMBL:ENST00000451590|ENSEMBL:ENST00000417302|ENSEMBL:ENST00000631404|ENSEMBL:ENST00000397596|ENSEMBL:ENST00000615062|ENSEMBL:ENST00000631967|ENSEMBL:ENST00000397594|ENSEMBL:ENST00000634098|ENSEMBL:ENST00000493230|ENSEMBL:ENSP00000480317|ENSEMBL:ENSP00000380723|ENSEMBL:ENSP00000388246|ENSEMBL:ENSP00000488296|ENSEMBL:ENSP00000407586|ENSEMBL:ENSP00000380722|ENSEMBL:ENSP00000488225|ENSEMBL:ENSP00000480686|ENSEMBL:ENSP00000488757|ENSEMBL:ENSP00000482366|ENSEMBL:ENSP00000309845|ENSEMBL:ENSP00000434023|ENSEMBL:ENSG00000174775	-	enzymatic reaction	reactome:R-HSA-5637806	8530489
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01111	ENSEMBL:ENSG00000213281|ENSEMBL:ENST00000369535|ENSEMBL:ENSP00000358548	-	enzymatic reaction	reactome:R-HSA-5637806	8530489
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01116	ENSEMBL:ENSG00000133703|ENSEMBL:ENSP00000508921|ENSEMBL:ENSP00000256078|ENSEMBL:ENSP00000509238|ENSEMBL:ENSP00000308495|ENSEMBL:ENST00000688940|ENSEMBL:ENST00000311936|ENSEMBL:ENST00000685328|ENSEMBL:ENST00000256078	-	enzymatic reaction	reactome:R-HSA-1225957	15118125|15284455|16024644
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	ChEBI:58189	-	-	enzymatic reaction	reactome:R-HSA-1225957	15118125|15284455|16024644
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01116	ENSEMBL:ENSG00000133703|ENSEMBL:ENSP00000256078|ENSEMBL:ENSP00000508921|ENSEMBL:ENSP00000509238|ENSEMBL:ENSP00000308495|ENSEMBL:ENST00000311936|ENSEMBL:ENST00000685328|ENSEMBL:ENST00000688940|ENSEMBL:ENST00000256078	-	enzymatic reaction	reactome:R-HSA-1225957	15118125|15284455|16024644
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01111	ENSEMBL:ENSG00000213281|ENSEMBL:ENST00000369535|ENSEMBL:ENSP00000358548	-	enzymatic reaction	reactome:R-HSA-1225957	15118125|15284455|16024644
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01112	ENSEMBL:ENSG00000276536|ENSEMBL:ENST00000616241|ENSEMBL:ENST00000311189|ENSEMBL:ENST00000610977|ENSEMBL:ENST00000451590|ENSEMBL:ENST00000417302|ENSEMBL:ENST00000631404|ENSEMBL:ENST00000397596|ENSEMBL:ENST00000615062|ENSEMBL:ENST00000631967|ENSEMBL:ENST00000397594|ENSEMBL:ENST00000634098|ENSEMBL:ENST00000493230|ENSEMBL:ENSP00000480317|ENSEMBL:ENSP00000380723|ENSEMBL:ENSP00000388246|ENSEMBL:ENSP00000488296|ENSEMBL:ENSP00000407586|ENSEMBL:ENSP00000380722|ENSEMBL:ENSP00000488225|ENSEMBL:ENSP00000480686|ENSEMBL:ENSP00000488757|ENSEMBL:ENSP00000482366|ENSEMBL:ENSP00000309845|ENSEMBL:ENSP00000434023|ENSEMBL:ENSG00000174775	-	enzymatic reaction	reactome:R-HSA-1225957	15118125|15284455|16024644
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P01116	ENSEMBL:ENSG00000133703|ENSEMBL:ENSP00000508921|ENSEMBL:ENSP00000256078|ENSEMBL:ENSP00000509238|ENSEMBL:ENSP00000308495|ENSEMBL:ENST00000688940|ENSEMBL:ENST00000311936|ENSEMBL:ENST00000685328|ENSEMBL:ENST00000256078	-	enzymatic reaction	reactome:R-HSA-5637808	8530489
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	ChEBI:58189	-	-	enzymatic reaction	reactome:R-HSA-5637808	8530489
