label|score|source|source_id|source_type|source_url|target_id|target_type
coexpressed_with|8.97|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000245105|gene
coexpressed_with|8.68|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000126838|gene
coexpressed_with|4.41|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000111341|gene
coexpressed_with|4.25|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000139187|gene
coexpressed_with|4.21|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000152583|gene
coexpressed_with|4.05|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000137491|gene
coexpressed_with|3.91|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000205403|gene
coexpressed_with|3.82|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000130203|gene
coexpressed_with|3.73|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000121769|gene
coexpressed_with|3.7|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000250722|gene
coexpressed_with|3.63|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000164035|gene
coexpressed_with|3.62|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000047457|gene
coexpressed_with|3.59|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000204291|gene
coexpressed_with|3.54|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000100234|gene
coexpressed_with|3.52|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000162692|gene
coexpressed_with|3.47|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000135744|gene
coexpressed_with|3.43|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000155659|gene
coexpressed_with|3.41|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000170323|gene
coexpressed_with|3.41|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000160307|gene
coexpressed_with|3.38|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000182326|gene
coexpressed_with|3.34|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000100311|gene
coexpressed_with|3.34|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000132688|gene
coexpressed_with|3.32|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000149131|gene
coexpressed_with|3.32|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000095637|gene
coexpressed_with|3.32|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000126785|gene
coexpressed_with|3.31|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000118292|gene
